Pieridae Abaeis nicippe
Noctuidae Abagrotis alampeta
Noctuidae Abagrotis alternata
Noctuidae Abagrotis anchocelioides
Noctuidae Abagrotis apposita
Noctuidae Abagrotis brunneipennis
Noctuidae Abagrotis cupida
Noctuidae Abagrotis dodi
Noctuidae Abagrotis mirabilis
Noctuidae Abagrotis nefascia
Noctuidae Abagrotis orbis
Noctuidae Abagrotis placida
Noctuidae Abagrotis reedi
Noctuidae Abagrotis striata
Glyphipterigidae Abrenthia cuprea
Noctuidae Abrostola ovalis
Noctuidae Abrostola urentis
Crambidae Acentria ephemerella
Hesperiidae Achalarus lyciades
Limacodidae Acharia stimulea
Noctuidae Achatia distincta
Noctuidae Achatodes zeae
Pyralidae Achroia grisella
Crambidae Achyra bifidalis
Crambidae Achyra rantalis
Tortricidae Acleris albicomana
Tortricidae Acleris braunana
Tortricidae Acleris britannia
Tortricidae Acleris cervinana
Tortricidae Acleris chalybeana
Tortricidae Acleris comariana
Tortricidae Acleris cornana
Tortricidae Acleris flavivittana
Tortricidae Acleris forbesana
Tortricidae Acleris hastiana
Tortricidae Acleris inana
Tortricidae Acleris logiana
Tortricidae Acleris maccana
Tortricidae Acleris macdunnoughi
Tortricidae Acleris maculidorsana
Tortricidae Acleris minuta
Tortricidae Acleris nigrolinea
Tortricidae Acleris nivisellana
Tortricidae Acleris robinsoniana
Tortricidae Acleris schalleriana
Tortricidae Acleris semiannula
Tortricidae Acleris semipurpurana
Tortricidae Acleris subnivana
Pyralidae Acrobasis amplexella
Pyralidae Acrobasis angusella
Pyralidae Acrobasis blanchardorum
Pyralidae Acrobasis carpinivorella
Pyralidae Acrobasis caryae
Pyralidae Acrobasis caryalbella
Pyralidae Acrobasis caryivorella
Pyralidae Acrobasis cirroferella
Pyralidae Acrobasis comptoniella
Pyralidae Acrobasis demotella
Pyralidae Acrobasis exsulella
Pyralidae Acrobasis indigenella
Pyralidae Acrobasis juglandis
Pyralidae Acrobasis ostryella
Pyralidae Acrobasis palliolella
Pyralidae Acrobasis rubrifasciella
Pyralidae Acrobasis stigmella
Pyralidae Acrobasis tricolorella
Pyralidae Acrobasis tumidulella
Pyralidae Acrobasis vaccinii
Gracillariidae Acrocercops albinatella
Gracillariidae Acrocercops astericola
Glyphipterigidae Acrolepiopsis incertella
Tineidae Acrolophus arcanella
Tineidae Acrolophus mortipennella
Tineidae Acrolophus morus
Tineidae Acrolophus plumifrontella
Tineidae Acrolophus popeanella
Tineidae Acrolophus propinquus
Tineidae Acrolophus texanella
Noctuidae Acronicta afflicta
Noctuidae Acronicta albarufa
Noctuidae Acronicta americana
Noctuidae Acronicta betulae
Noctuidae Acronicta clarescens
Noctuidae Acronicta connecta
Noctuidae Acronicta dactylina
Noctuidae Acronicta exilis
Noctuidae Acronicta fallax
Noctuidae Acronicta fragilis
Noctuidae Acronicta funeralis
Noctuidae Acronicta grisea
Noctuidae Acronicta haesitata
Noctuidae Acronicta hamamelis
Noctuidae Acronicta hasta
Noctuidae Acronicta heitzmani
Noctuidae Acronicta impleta
Noctuidae Acronicta impressa
Noctuidae Acronicta inclara
Noctuidae Acronicta increta
Noctuidae Acronicta innotata
Noctuidae Acronicta interrupta
Noctuidae Acronicta laetifica
Noctuidae Acronicta lepusculina
Noctuidae Acronicta lithospila
Noctuidae Acronicta lobeliae
Noctuidae Acronicta longa
Noctuidae Acronicta lupini
Noctuidae Acronicta modica
Noctuidae Acronicta morula
Noctuidae Acronicta noctivaga
Noctuidae Acronicta oblinita
Noctuidae Acronicta ovata
Noctuidae Acronicta radcliffei
Noctuidae Acronicta retardata
Noctuidae Acronicta rubricoma
Noctuidae Acronicta sagittata
Noctuidae Acronicta spinigera
Noctuidae Acronicta superans
Noctuidae Acronicta tristis
Noctuidae Acronicta tritona
Noctuidae Acronicta vinnula
Noctuidae Acronicta vulpina
Saturniidae Actias luna
Pterophoridae Adaina ambrosiae
Adelidae Adela ridingsella
Limacodidae Adoneta spinuloides
Tortricidae Adoxophyes negundana
Sphingidae Aellopos fadus
Sphingidae Aellopos titan
Geometridae Aethalura intertexta
Tortricidae Aethes angulatana
Tortricidae Aethes angustana
Tortricidae Aethes argentilimitana
Tortricidae Aethes interruptofasciata
Tortricidae Aethes louisiana
Tortricidae Aethes mymara
Tortricidae Aethes patricia
Tortricidae Aethes promptana
Tortricidae Aethes rana
Tortricidae Aethes razowskii
Tortricidae Aethes seriatana
Tortricidae Aethes sexdentata
Tortricidae Aethes smeathmanniana
Crambidae Aethiophysa consimilis
Crambidae Aethiophysa invisalis
Heliodinidae Aetole tripunctella
Nymphalidae Aglais milberti
Pyralidae Aglossa caprealis
Pyralidae Aglossa costiferalis
Pyralidae Aglossa cuprina
Pyralidae Aglossa disciferalis
Noctuidae Agnorisma badinodis
Noctuidae Agnorisma bollii
Depressariidae Agonopterix alstroemeriana
Depressariidae Agonopterix argillacea
Depressariidae Agonopterix canadensis
Depressariidae Agonopterix ciliella
Depressariidae Agonopterix clemensella
Depressariidae Agonopterix curvilineella
Depressariidae Agonopterix eupatoriiella
Depressariidae Agonopterix flavicomella
Depressariidae Agonopterix fusciterminella
Depressariidae Agonopterix hyperella
Depressariidae Agonopterix lecontella
Depressariidae Agonopterix lythrella
Depressariidae Agonopterix nebulosa
Depressariidae Agonopterix nigrinotella
Depressariidae Agonopterix nubiferella
Depressariidae Agonopterix pulvipennella
Depressariidae Agonopterix robiniella
Depressariidae Agonopterix thelmae
Depressariidae Agonopterix walsinghamella
Nymphalidae Agraulis vanillae
Crambidae Agriphila costalipartella
Crambidae Agriphila plumbifimbriellus
Crambidae Agriphila ruricolellus
Crambidae Agriphila straminella
Crambidae Agriphila vulgivagellus
Sphingidae Agrius cingulata
Noctuidae Agrotis gladiaria
Noctuidae Agrotis ipsilon
Noctuidae Agrotis venerabilis
Noctuidae Agrotis vetusta
Noctuidae Agrotis volubilis
Sesiidae Albuna fraxini
Sesiidae Alcathoe caudata
Noctuidae Allagrapha aerea
Erebidae Allotria elonympha
Geometridae Alsophila pometaria
Noctuidae Alypia langtoni
Noctuidae Alypia octomaculata
Pterophoridae Amblyptilia pica
Hesperiidae Amblyscirtes vialis
Erebidae Amolita fessa
Tortricidae Amorbia cuneana
Sphingidae Amorpha juglandis
Sphingidae Amphion floridensis
Noctuidae Amphipoea americana
Noctuidae Amphipyra glabella
Noctuidae Amphipyra pyramidoides
Noctuidae Amphipyra tragopoginis
Tineidae Amydria effrentella
Noctuidae Amyna bullula
Noctuidae Amyna stricta
Gelechiidae Anacampsis agrimoniella
Gelechiidae Anacampsis fragariella
Gelechiidae Anacampsis innocuella
Gelechiidae Anacampsis levipedella
Gelechiidae Anacampsis lupinella
Gelechiidae Anacampsis wikeri
Nymphalidae Anaea andria
Crambidae Anageshna primordialis
Noctuidae Anagrapha falcifera
Crambidae Anania extricalis
Crambidae Anania funebris
Crambidae Anania labeculalis
Crambidae Anania leuschneri
Crambidae Anania mysippusalis
Crambidae Anania tertialis
Noctuidae Anarta trifolii
Nymphalidae Anartia jatrophae
Noctuidae Anathix aggressa
Noctuidae Anathix puta
Noctuidae Anathix ralla
Hesperiidae Anatrytone logan
Geometridae Anavitrinella pampinaria
Tortricidae Ancylis burgessiana
Tortricidae Ancylis diminutana
Tortricidae Ancylis divisana
Tortricidae Ancylis floridana
Tortricidae Ancylis goodelliana
Tortricidae Ancylis laciniana
Tortricidae Ancylis maritima
Tortricidae Ancylis metamelana
Tortricidae Ancylis mira
Tortricidae Ancylis muricana
Tortricidae Ancylis nubeculana
Tortricidae Ancylis platanana
Tortricidae Ancylis spireaeifoliana
Tortricidae Ancylis subaequana
Hesperiidae Ancyloxypha numitor
Noctuidae Anicla illapsa
Noctuidae Anicla infecta
Noctuidae Anicla lubricans
Noctuidae Anicla tenuescens
Saturniidae Anisota stigma
Saturniidae Anisota virginiensis
Erebidae Anomis erosa
Erebidae Anomis illita
Depressariidae Antaeotricha humilis
Depressariidae Antaeotricha leucillana
Depressariidae Antaeotricha osseela
Depressariidae Antaeotricha schlaegeri
Noctuidae Anterastria teratophora
Saturniidae Antheraea polyphemus
Erebidae Anticarsia gemmatalis
Geometridae Anticlea multiferata
Geometridae Anticlea vasiliata
Heliozelidae Antispila cornifoliella
Noctuidae Apamea apamiformis
Noctuidae Apamea burgessi
Noctuidae Apamea cariosa
Noctuidae Apamea cristata
Noctuidae Apamea devastator
Noctuidae Apamea digitula
Noctuidae Apamea dubitans
Noctuidae Apamea helva
Noctuidae Apamea indocilis
Noctuidae Apamea lignicolora
Noctuidae Apamea longula
Noctuidae Apamea lutosa
Noctuidae Apamea nigrior
Noctuidae Apamea plutonia
Noctuidae Apamea quinteri
Noctuidae Apamea sordens
Noctuidae Apamea unanimis
Noctuidae Apamea verbascoides
Noctuidae Apamea vulgaris
Erebidae Apantesis carlotta
Erebidae Apantesis nais
Erebidae Apantesis phalerata
Erebidae Apantesis vittata
Apatelodidae Apatelodes torrefacta
Pyralidae Aphomia fulminalis
Pyralidae Aphomia terrenella
Limacodidae Apoda biguttata
Limacodidae Apoda y-inversum
Crambidae Apogeshna stenialis
Tortricidae Apotomis capreana
Tortricidae Apotomis deceptana
Tortricidae Apotomis frigidana
Tortricidae Apotomis funerea
Tortricidae Apotomis infida
Tortricidae Apotomis removana
Geometridae Archiearis infans
Tortricidae Archips argyrospila
Tortricidae Archips georgiana
Tortricidae Archips grisea
Tortricidae Archips infumatana
Tortricidae Archips mortuana
Tortricidae Archips negundana
Tortricidae Archips purpurana
Tortricidae Archips semiferanus
Erebidae Arctia caja
Crambidae Arequipa turbatella
Noctuidae Argillophora furcilla
Argyresthiidae Argyresthia alternatella
Argyresthiidae Argyresthia apicimaculella
Argyresthiidae Argyresthia austerella
Argyresthiidae Argyresthia oreasella
Argyresthiidae Argyresthia subreticulata
Crambidae Argyria auratella
Crambidae Argyria critica
Crambidae Argyria nummulalis
Crambidae Argyria rufisignella
Tortricidae Argyroploce externa
Erebidae Argyrostrotis anilis
Tortricidae Argyrotaenia alisellana
Tortricidae Argyrotaenia juglandana
Tortricidae Argyrotaenia mariana
Tortricidae Argyrotaenia pinatubana
Tortricidae Argyrotaenia quadrifasciana
Tortricidae Argyrotaenia quercifoliana
Tortricidae Argyrotaenia velutinana
Gelechiidae Aristotelia adceanotha
Gelechiidae Aristotelia devexella
Gelechiidae Aristotelia elegantella
Gelechiidae Aristotelia fungivorella
Gelechiidae Aristotelia roseosuffusella
Gelechiidae Aristotelia rubidella
Gelechiidae Arogalea cristifasciella
Pyralidae Arta statalis
Lasiocampidae Artace cribrarius
Erebidae Arugisa latiorella
Erebidae Ascalapha odorata
Nymphalidae Asterocampa celtis
Nymphalidae Asterocampa clyton
Hesperiidae Atalopedes campestris
Pyralidae Atascosa glareosella
Crambidae Ategumia ebulealis
Noctuidae Athetis tarda
Gelechiidae Athrips mouffetella
Hesperiidae Atrytonopsis hianna
Attevidae Atteva aurea
Noctuidae Autographa bimaculata
Noctuidae Autographa californica
Noctuidae Autographa precationis
Noctuidae Autographa rubidus
Saturniidae Automeris io
Noctuidae Azenia obtusa
Tortricidae Bactra furfurana
Tortricidae Bactra lancealana
Tortricidae Bactra maiorina
Tortricidae Bactra priapeia
Tortricidae Bactra verutana
Noctuidae Bagisara gulnare
Noctuidae Bagisara rectifascia
Nolidae Baileya australis
Nolidae Baileya dormitans
Nolidae Baileya doubledayi
Nolidae Baileya levitans
Nolidae Baileya ophthalmica
Noctuidae Balsa labecula
Noctuidae Balsa malana
Noctuidae Balsa tristrigella
Gelechiidae Battaristis concinusella
Gelechiidae Battaristis vittella
Papilionidae Battus philenor
Bedelliidae Bedellia somnulentella
Noctuidae Bellura densa
Noctuidae Bellura obliqua
Pyralidae Bema neuricella
Geometridae Besma quercivoraria
Depressariidae Bibarrambla allenella
Geometridae Biston betularia
Blastobasidae Blastobasis floridella
Blastobasidae Blastobasis glandulella
Blastobasidae Blastobasis pulchella
Blastobasidae Blastobasis yuccaecolella
Crambidae Blepharomastix ranalis
Erebidae Bleptina caradrinalis
Erebidae Bleptina inferior
Nymphalidae Boloria bellona
Nymphalidae Boloria frigga
Nymphalidae Boloria selene
Noctuidae Brachionycha borealis
Noctuidae Brachylomia discinigra
Choreutidae Brenthia pavonacella
Bucculatricidae Bucculatrix adelpha
Bucculatricidae Bucculatrix ainsliella
Bucculatricidae Bucculatrix anaticula
Bucculatricidae Bucculatrix angustata
Bucculatricidae Bucculatrix canadensisella
Bucculatricidae Bucculatrix coronatella
Bucculatricidae Bucculatrix montana
Bucculatricidae Bucculatrix platyphylla
Bucculatricidae Bucculatrix pomifoliella
Bucculatricidae Bucculatrix simulans
Erebidae Bulia deducta
Geometridae Cabera erythemaria
Geometridae Cabera quadrifasciaria
Geometridae Cabera variolaria
Pyralidae Cadra cautella
Erebidae Caenurgia chloropha
Erebidae Caenurgina crassiuscula
Erebidae Caenurgina erechtea
Uraniidae Calledapteryx dryopterata
Uraniidae Callizzia amorata
Lycaenidae Callophrys augustinus
Lycaenidae Callophrys gryneus
Lycaenidae Callophrys henrici
Lycaenidae Callophrys niphon
Noctuidae Callopistria cordata
Noctuidae Callopistria floridensis
Noctuidae Callopistria mollissima
Saturniidae Callosamia angulifera
Saturniidae Callosamia promethea
Gracillariidae Caloptilia azaleella
Gracillariidae Caloptilia belfragella
Gracillariidae Caloptilia bimaculatella
Gracillariidae Caloptilia blandella
Gracillariidae Caloptilia cornusella
Gracillariidae Caloptilia hypericella
Gracillariidae Caloptilia murtfeldtella
Gracillariidae Caloptilia negundella
Gracillariidae Caloptilia ostryaeella
Gracillariidae Caloptilia ovatiella
Gracillariidae Caloptilia packardella
Gracillariidae Caloptilia rhoifoliella
Gracillariidae Caloptilia sassafrasella
Gracillariidae Caloptilia stigmatella
Gracillariidae Caloptilia strictella
Gracillariidae Caloptilia superbifrontella
Gracillariidae Caloptilia umbratella
Gracillariidae Caloptilia violacella
Lycaenidae Calycopis cecrops
Erebidae Calyptra canadensis
Gracillariidae Cameraria australisella
Gracillariidae Cameraria caryaefoliella
Gracillariidae Cameraria cincinnatiella
Gracillariidae Cameraria conglomeratella
Gracillariidae Cameraria guttifinitella
Gracillariidae Cameraria hamadryadella
Gracillariidae Cameraria hamameliella
Gracillariidae Cameraria ostryarella
Gracillariidae Cameraria quercivorella
Geometridae Campaea perlata
Pyralidae Canarsia ulmiarrosorella
Noctuidae Capsula oblonga
Noctuidae Capsula subflava
Noctuidae Caradrina montana
Geometridae Caripeta divisata
Sesiidae Carmenta bassiformis
Sesiidae Carmenta ithacae
Sesiidae Carmenta mimuli
Tortricidae Carolella sartana
Carposinidae Carposina fernaldana
Carposinidae Carposina sasakii
Hesperiidae Carterocephalus palaemon
Noctuidae Catabena lineolata
Noctuidae Catabena sagittata
Tortricidae Catastega aceriella
Tortricidae Catastega timidella
Erebidae Catocala abbreviatella
Erebidae Catocala alabamae
Erebidae Catocala amatrix
Erebidae Catocala amestris
Erebidae Catocala amica
Erebidae Catocala andromedae
Erebidae Catocala angusi
Erebidae Catocala blandula
Erebidae Catocala cara
Erebidae Catocala cerogama
Erebidae Catocala clintonii
Erebidae Catocala coccinata
Erebidae Catocala connubialis
Erebidae Catocala crataegi
Erebidae Catocala dejecta
Erebidae Catocala epione
Erebidae Catocala flebilis
Erebidae Catocala grynea
Erebidae Catocala habilis
Erebidae Catocala ilia
Erebidae Catocala illecta
Erebidae Catocala innubens
Erebidae Catocala insolabilis
Erebidae Catocala judith
Erebidae Catocala junctura
Erebidae Catocala lacrymosa
Erebidae Catocala lineella
Erebidae Catocala luctuosa
Erebidae Catocala maestosa
Erebidae Catocala meskei
Erebidae Catocala micronympha
Erebidae Catocala minuta
Erebidae Catocala mira
